API,excipient,label,prop
5_Fluorouracil,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
5_Fluorouracil,Alizarin_Red_S,0,1
5_Fluorouracil,Allura Red AC,0,1
5_Fluorouracil,Ampicillin,1,0.287726723
5_Fluorouracil,Betaine,1,0.083555018
5_Fluorouracil,BETANIN,1,0.103688029
5_Fluorouracil,Brilliant_blue_G,1,0.092019347
5_Fluorouracil,Caffeic acid,1,0.246886336
5_Fluorouracil,Capecitabine,1,0.097279323
5_Fluorouracil,Carmin,1,0.247551391
5_Fluorouracil,Chlorogenic acid,1,0.144860943
5_Fluorouracil,Citric_acid,0,1
5_Fluorouracil,Congo_red,0,1
5_Fluorouracil,D_glucose,1,0.047793229
5_Fluorouracil,D(-)-Tartaric acid,1,0.20958283
5_Fluorouracil,Dopamine hydrochloride,1,0.268923821
5_Fluorouracil,EGCG,1,0.040356711
5_Fluorouracil,Gallic_acid,1,0.107466747
5_Fluorouracil,Glutathione,0,1
5_Fluorouracil,Glycerol,1,0.150785973
5_Fluorouracil,Glycyrrhizic_acid,0,1
5_Fluorouracil,L_Ascorbic_acid,1,0.176662636
5_Fluorouracil,L_Leucine,1,0.098881499
5_Fluorouracil,Lamivudine,1,0.224183797
5_Fluorouracil,Meglumine,1,0.251088271
5_Fluorouracil,Metformin hydrochloride,1,0.078748489
5_Fluorouracil,Naproxen_sodium,0,1
5_Fluorouracil,Nicotinic_acid,0,1
5_Fluorouracil,Potassium_sorbate,0,1
5_Fluorouracil,Procyanidin,0,1
5_Fluorouracil,SAFFLOWER YELLOW,1,0.078476421
5_Fluorouracil,Salidroside,0,1
5_Fluorouracil,Sorbitol,1,0.154050786
5_Fluorouracil,Sucrose,0,1
5_Fluorouracil,Tannic_acid,1,0.112243047
5_Fluorouracil,Tartrazine,1,0.16780532
5_Fluorouracil,Taurine,1,0.119891173
5_Fluorouracil,Triethyl_citrate,1,0.171795647
5_Fluorouracil,Vanillin,1,0.203355502
5_Fluorouracil,Xylitol,1,0.14643289
Aprepitant,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Aprepitant,Alizarin_Red_S,1,0.050950089
Aprepitant,Allura Red AC,0,1
Aprepitant,Ampicillin,0,1
Aprepitant,Betaine,0,1
Aprepitant,BETANIN,0,1
Aprepitant,Brilliant_blue_G,1,0.041322523
Aprepitant,Caffeic acid,0,1
Aprepitant,Capecitabine,0,1
Aprepitant,Carmin,0,1
Aprepitant,Chlorogenic acid,0,1
Aprepitant,Citric_acid,0,1
Aprepitant,Congo_red,0,1
Aprepitant,D_glucose,0,1
Aprepitant,D(-)-Tartaric acid,0,1
Aprepitant,Dopamine hydrochloride,0,1
Aprepitant,EGCG,0,1
Aprepitant,Evans_Blue,0,1
Aprepitant,Gallic_acid,1,0.059766912
Aprepitant,Glutathione,0,1
Aprepitant,Glycerol,0,1
Aprepitant,Glycyrrhizic_acid,1,0.028705346
Aprepitant,L_Ascorbic_acid,1,0.037547504
Aprepitant,L_Leucine,0,1
Aprepitant,Lamivudine,0,1
Aprepitant,Meglumine,0,1
Aprepitant,Metformin hydrochloride,0,1
Aprepitant,Methylene_Blue_trihydrate,0,1
Aprepitant,Naproxen_sodium,0,1
Aprepitant,Nicotinic_acid,1,0.035469977
Aprepitant,Potassium_sorbate,0,1
Aprepitant,Procyanidin,1,0.083025082
Aprepitant,SAFFLOWER YELLOW,0,1
Aprepitant,Salidroside,0,1
Aprepitant,Sorbitol,0,1
Aprepitant,Sucrose,0,1
Aprepitant,Tannic_acid,0,1
Aprepitant,Tartrazine,0,1
Aprepitant,Taurine,0,1
Aprepitant,Triethyl_citrate,0,1
Aprepitant,Vanillin,0,1
Aprepitant,Xylitol,0,1
Artesunate,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,1,0.354671089
Artesunate,Alizarin_Red_S,1,0.392979547
Artesunate,Allura Red AC,0,1
Artesunate,Ampicillin,1,0.344555003
Artesunate,Betaine,1,0.320287452
Artesunate,BETANIN,1,0.175290216
Artesunate,Brilliant_blue_G,1,0.364842454
Artesunate,Caffeic acid,0,1
Artesunate,Capecitabine,1,0.17042565
Artesunate,Carmin,0,1
Artesunate,Chlorogenic acid,0,1
Artesunate,Citric_acid,1,0.358651189
Artesunate,Congo_red,1,0.107020453
Artesunate,D_glucose,1,0.146821448
Artesunate,D(-)-Tartaric acid,1,0.327031509
Artesunate,Dopamine hydrochloride,1,0.256274185
Artesunate,EGCG,1,0.136428966
Artesunate,Evans_Blue,1,0.007672747
Artesunate,Gallic_acid,1,0.266003317
Artesunate,Glutathione,1,0.345163074
Artesunate,Glycerol,1,0.55002764
Artesunate,Glycyrrhizic_acid,0,1
Artesunate,L_Ascorbic_acid,1,0.121614151
Artesunate,L_Leucine,1,0.183858485
Artesunate,Lamivudine,0,1
Artesunate,Meglumine,0,1
Artesunate,Metformin hydrochloride,1,0.446876727
Artesunate,Naproxen_sodium,0,1
Artesunate,Nicotinic_acid,1,0.112548369
Artesunate,Potassium_sorbate,0,1
Artesunate,Procyanidin,0,1
Artesunate,SAFFLOWER YELLOW,1,0.388114981
Artesunate,Salidroside,1,0.173079049
Artesunate,Sorbitol,1,0.398286346
Artesunate,Sucrose,0,1
Artesunate,Tannic_acid,0,1
Artesunate,Tartrazine,1,0.530348259
Artesunate,Taurine,1,0.551630735
Artesunate,Triethyl_citrate,1,0.277169707
Artesunate,Vanillin,0,1
Artesunate,Xylitol,0,1
Berberine,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Berberine,Alizarin_Red_S,0,1
Berberine,Allura Red AC,1,0.708282209
Berberine,Ampicillin,0,1
Berberine,Betaine,0,1
Berberine,BETANIN,0,1
Berberine,Brilliant_blue_G,1,0.504294479
Berberine,Caffeic acid,0,0.903374233
Berberine,Capecitabine,1,0.745705521
Berberine,Carmin,1,0.637730061
Berberine,Chlorogenic acid,0,1
Berberine,Citric_acid,0,0.883435583
Berberine,Congo_red,0,1
Berberine,D_glucose,0,0.960429448
Berberine,D(-)-Tartaric acid,0,0.91303681
Berberine,Dopamine hydrochloride,0,0.864723926
Berberine,EGCG,1,0.266257669
Berberine,Gallic_acid,0,1
Berberine,Glutathione,0,1
Berberine,Glycerol,0,1
Berberine,Glycyrrhizic_acid,0,0.849079755
Berberine,L_Ascorbic_acid,0,0.83404908
Berberine,L_Leucine,0,0.884509202
Berberine,Lamivudine,0,1
Berberine,Meglumine,1,0.154601227
Berberine,Metformin hydrochloride,0,1
Berberine,Naproxen_sodium,0,1
Berberine,Nicotinic_acid,0,0.780674847
Berberine,Potassium_sorbate,0,1
Berberine,Procyanidin,1,0.145107362
Berberine,SAFFLOWER YELLOW,0,1
Berberine,Salidroside,0,1
Berberine,Sorbitol,0,0.961042945
Berberine,Sucrose,0,1
Berberine,Tannic_acid,1,0.098834356
Berberine,Tartrazine,0,1
Berberine,Taurine,0,0.760122699
Berberine,Triethyl_citrate,0,0.95291411
Berberine,Vanillin,0,0.946779141
Berberine,Xylitol,0,0.958742331
Beta_carotene,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Beta_carotene,Alizarin_Red_S,0,1
Beta_carotene,Allura Red AC,0,1
Beta_carotene,Ampicillin,0,1
Beta_carotene,Betaine,0,1
Beta_carotene,BETANIN,0,1
Beta_carotene,Brilliant_blue_G,0,1
Beta_carotene,Caffeic acid,0,1
Beta_carotene,Capecitabine,0,1
Beta_carotene,Carmin,0,1
Beta_carotene,Chlorogenic acid,0,1
Beta_carotene,Citric_acid,0,1
Beta_carotene,Congo_red,0,1
Beta_carotene,D_glucose,0,1
Beta_carotene,D(-)-Tartaric acid,0,1
Beta_carotene,Dopamine hydrochloride,0,1
Beta_carotene,EGCG,0,1
Beta_carotene,Evans_Blue,0,1
Beta_carotene,Gallic_acid,0,1
Beta_carotene,Glutathione,0,1
Beta_carotene,Glycerol,0,1
Beta_carotene,Glycyrrhizic_acid,0,1
Beta_carotene,L_Ascorbic_acid,0,1
Beta_carotene,L_Leucine,0,1
Beta_carotene,Lamivudine,0,1
Beta_carotene,Meglumine,0,1
Beta_carotene,Metformin hydrochloride,0,1
Beta_carotene,Methylene_Blue_trihydrate,0,1
Beta_carotene,Naproxen_sodium,0,1
Beta_carotene,Nicotinic_acid,0,1
Beta_carotene,Potassium_sorbate,0,1
Beta_carotene,Procyanidin,0,1
Beta_carotene,SAFFLOWER YELLOW,0,1
Beta_carotene,Salidroside,0,1
Beta_carotene,Sorbitol,0,1
Beta_carotene,Sucrose,0,1
Beta_carotene,Tannic_acid,0,1
Beta_carotene,Tartrazine,0,1
Beta_carotene,Taurine,0,1
Beta_carotene,Triethyl_citrate,0,1
Beta_carotene,Vanillin,0,1
Beta_carotene,Xylitol,0,1
Baicalein,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Baicalein,Alizarin_Red_S,1,0.304635762
Baicalein,Allura Red AC,0,1
Baicalein,Ampicillin,0,1
Baicalein,Betaine,0,1
Baicalein,BETANIN,0,1
Baicalein,Brilliant_blue_G,1,0.058634743
Baicalein,Caffeic acid,0,1
Baicalein,Capecitabine,0,1
Baicalein,Carmin,0,1
Baicalein,Chlorogenic acid,0,1
Baicalein,Citric_acid,0,1
Baicalein,Congo_red,1,0.124808966
Baicalein,D_glucose,0,1
Baicalein,D(-)-Tartaric acid,0,1
Baicalein,Dopamine hydrochloride,0,1
Baicalein,EGCG,0,1
Baicalein,Evans_Blue,1,0.10397351
Baicalein,Gallic_acid,0,1
Baicalein,Glutathione,0,1
Baicalein,Glycerol,0,1
Baicalein,Glycyrrhizic_acid,1,0.300916964
Baicalein,L_Ascorbic_acid,0,1
Baicalein,L_Leucine,0,1
Baicalein,Lamivudine,0,1
Baicalein,Meglumine,1,0.015374427
Baicalein,Metformin hydrochloride,0,1
Baicalein,Methylene_Blue_trihydrate,0,1
Baicalein,Naproxen_sodium,0,1
Baicalein,Nicotinic_acid,0,1
Baicalein,Potassium_sorbate,0,1
Baicalein,Procyanidin,1,0.122822211
Baicalein,SAFFLOWER YELLOW,0,1
Baicalein,Salidroside,0,1
Baicalein,Sorbitol,0,1
Baicalein,Sucrose,0,1
Baicalein,Tannic_acid,0,1
Baicalein,Tartrazine,0,1
Baicalein,Taurine,0,1
Baicalein,Triethyl_citrate,0,1
Baicalein,Vanillin,0,1
Baicalein,Xylitol,0,1
Baicalin,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Baicalin,Alizarin_Red_S,0,1
Baicalin,Allura Red AC,1,0.574579222
Baicalin,Ampicillin,0,1
Baicalin,Betaine,0,1
Baicalin,BETANIN,1,0.338653511
Baicalin,Brilliant_blue_G,1,0.387986071
Baicalin,Caffeic acid,0,1
Baicalin,Capecitabine,1,0.413987232
Baicalin,Carmin,0,1
Baicalin,Chlorogenic acid,0,1
Baicalin,Citric_acid,0,1
Baicalin,Congo_red,1,0.028572258
Baicalin,D_glucose,1,0.12362159
Baicalin,D(-)-Tartaric acid,0,1
Baicalin,Dopamine hydrochloride,0,1
Baicalin,EGCG,1,0.164190366
Baicalin,Evans_Blue,1,0.263784098
Baicalin,Gallic_acid,1,0.27225769
Baicalin,Glutathione,0,1
Baicalin,Glycerol,0,1
Baicalin,Glycyrrhizic_acid,0,1
Baicalin,L_Ascorbic_acid,1,0.370110273
Baicalin,L_Leucine,1,0.326755659
Baicalin,Lamivudine,0,1
Baicalin,Meglumine,0,1
Baicalin,Metformin hydrochloride,0,1
Baicalin,Methylene_Blue_trihydrate,0,1
Baicalin,Naproxen_sodium,0,1
Baicalin,Nicotinic_acid,1,0.449274521
Baicalin,Potassium_sorbate,0,1
Baicalin,Procyanidin,0,1
Baicalin,SAFFLOWER YELLOW,1,0.166627974
Baicalin,Salidroside,1,0.37295415
Baicalin,Sorbitol,0,1
Baicalin,Sucrose,0,1
Baicalin,Tannic_acid,1,0.245269878
Baicalin,Tartrazine,0,1
Baicalin,Taurine,0,1
Baicalin,Triethyl_citrate,0,1
Baicalin,Vanillin,0,1
Baicalin,Xylitol,0,1
Budesonide,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,1,0.146576227
Budesonide,Alizarin_Red_S,1,0.527196382
Budesonide,Allura Red AC,1,0.203552972
Budesonide,Ampicillin,1,0.162919897
Budesonide,Betaine,1,0.215310078
Budesonide,BETANIN,1,0.129844961
Budesonide,Brilliant_blue_G,1,0.103294574
Budesonide,Caffeic acid,1,0.386175711
Budesonide,Capecitabine,1,0.145090439
Budesonide,Carmin,1,0.313501292
Budesonide,Chlorogenic acid,1,0.416731266
Budesonide,Citric_acid,0,1
Budesonide,Congo_red,1,0.31621447
Budesonide,D_glucose,1,0.100581395
Budesonide,D(-)-Tartaric acid,0,1
Budesonide,Dopamine hydrochloride,0,1
Budesonide,EGCG,1,0.125968992
Budesonide,Evans_Blue,1,0.223966408
Budesonide,Gallic_acid,1,0.174224806
Budesonide,Glutathione,0,1
Budesonide,Glycerol,1,0.295671835
Budesonide,Glycyrrhizic_acid,0,1
Budesonide,L_Ascorbic_acid,1,0.213113695
Budesonide,L_Leucine,1,0.092571059
Budesonide,Lamivudine,1,0.595930233
Budesonide,Meglumine,1,0.113113695
Budesonide,Metformin hydrochloride,0,1
Budesonide,Naproxen_sodium,1,0.402002584
Budesonide,Nicotinic_acid,1,0.153294574
Budesonide,Potassium_sorbate,0,1
Budesonide,Procyanidin,0,1
Budesonide,SAFFLOWER YELLOW,1,0.244379845
Budesonide,Salidroside,1,0.158139535
Budesonide,Sorbitol,1,0.299224806
Budesonide,Sucrose,1,0.245413437
Budesonide,Tannic_acid,0,1
Budesonide,Tartrazine,1,0.577583979
Budesonide,Taurine,1,0.328100775
Budesonide,Triethyl_citrate,0,1
Budesonide,Vanillin,0,1
Budesonide,Xylitol,1,0.23255814
Cholic_acid,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,1,0.274536647
Cholic_acid,Alizarin_Red_S,0,1
Cholic_acid,Allura Red AC,0,1
Cholic_acid,Ampicillin,0,1
Cholic_acid,Betaine,1,0.198083404
Cholic_acid,BETANIN,1,0.523694187
Cholic_acid,Brilliant_blue_G,1,0.179338669
Cholic_acid,Caffeic acid,1,0.360046335
Cholic_acid,Capecitabine,1,0.362889638
Cholic_acid,Carmin,0,1
Cholic_acid,Chlorogenic acid,1,0.406171019
Cholic_acid,Citric_acid,0,1
Cholic_acid,Congo_red,1,0.542228307
Cholic_acid,D_glucose,0,1
Cholic_acid,D(-)-Tartaric acid,0,1
Cholic_acid,Dopamine hydrochloride,0,1
Cholic_acid,EGCG,1,0.244839933
Cholic_acid,Evans_Blue,1,0.132898062
Cholic_acid,Gallic_acid,1,0.37963353
Cholic_acid,Glutathione,1,0.307813816
Cholic_acid,Glycerol,0,1
Cholic_acid,Glycyrrhizic_acid,0,1
Cholic_acid,L_Ascorbic_acid,1,0.238942713
Cholic_acid,L_Leucine,1,0.179970514
Cholic_acid,Lamivudine,0,0.807392586
Cholic_acid,Meglumine,1,0.481571188
Cholic_acid,Metformin hydrochloride,0,1
Cholic_acid,Naproxen_sodium,0,1
Cholic_acid,Nicotinic_acid,1,0.138163437
Cholic_acid,Potassium_sorbate,0,1
Cholic_acid,Procyanidin,1,0.376158382
Cholic_acid,SAFFLOWER YELLOW,1,0.321609099
Cholic_acid,Salidroside,1,0.320977254
Cholic_acid,Sorbitol,0,1
Cholic_acid,Sucrose,0,1
Cholic_acid,Tannic_acid,0,1
Cholic_acid,Tartrazine,0,1
Cholic_acid,Taurine,0,0.898904802
Cholic_acid,Triethyl_citrate,0,1
Cholic_acid,Vanillin,0,0.934288121
Cholic_acid,Xylitol,1,0.73525695
Candesartan_cilexetil,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Candesartan_cilexetil,Alizarin_Red_S,0,0.981830417
Candesartan_cilexetil,Allura Red AC,0,0.907806191
Candesartan_cilexetil,Ampicillin,0,0.97039031
Candesartan_cilexetil,Betaine,0,1
Candesartan_cilexetil,BETANIN,0,0.882907133
Candesartan_cilexetil,Brilliant_blue_G,0,0.831090175
Candesartan_cilexetil,Caffeic acid,0,0.944818304
Candesartan_cilexetil,Capecitabine,0,0.944145357
Candesartan_cilexetil,Carmin,0,0.841184388
Candesartan_cilexetil,Chlorogenic acid,0,1
Candesartan_cilexetil,Citric_acid,0,1
Candesartan_cilexetil,Congo_red,1,0.693808883
Candesartan_cilexetil,D_glucose,0,0.911843876
Candesartan_cilexetil,D(-)-Tartaric acid,0,1
Candesartan_cilexetil,Dopamine hydrochloride,0,1
Candesartan_cilexetil,EGCG,0,0.83781965
Candesartan_cilexetil,Evans_Blue,0,1
Candesartan_cilexetil,Gallic_acid,0,0.752355316
Candesartan_cilexetil,Glutathione,0,0.97846568
Candesartan_cilexetil,Glycerol,0,0.981830417
Candesartan_cilexetil,Glycyrrhizic_acid,0,0.768506057
Candesartan_cilexetil,L_Ascorbic_acid,0,0.860699865
Candesartan_cilexetil,L_Leucine,0,0.913189771
Candesartan_cilexetil,Lamivudine,0,0.924629879
Candesartan_cilexetil,Meglumine,1,0.726783311
Candesartan_cilexetil,Metformin hydrochloride,0,0.930686406
Candesartan_cilexetil,Methylene_Blue_trihydrate,0,1
Candesartan_cilexetil,Naproxen_sodium,0,0.861372813
Candesartan_cilexetil,Nicotinic_acid,0,0.80820996
Candesartan_cilexetil,Potassium_sorbate,0,0.834454913
Candesartan_cilexetil,Procyanidin,0,0.771197847
Candesartan_cilexetil,SAFFLOWER YELLOW,1,0.730148048
Candesartan_cilexetil,Salidroside,0,0.870794078
Candesartan_cilexetil,Sorbitol,0,1
Candesartan_cilexetil,Sucrose,0,0.954239569
Candesartan_cilexetil,Tannic_acid,0,1
Candesartan_cilexetil,Tartrazine,0,0.84858681
Candesartan_cilexetil,Taurine,0,1
Candesartan_cilexetil,Triethyl_citrate,0,1
Candesartan_cilexetil,Vanillin,0,1
Candesartan_cilexetil,Xylitol,0,0.944818304
Celecoxib,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Celecoxib,Alizarin_Red_S,0,1
Celecoxib,Allura Red AC,0,1
Celecoxib,Ampicillin,0,1
Celecoxib,Betaine,0,1
Celecoxib,BETANIN,1,0.704002635
Celecoxib,Brilliant_blue_G,1,0.154949761
Celecoxib,Caffeic acid,0,1
Celecoxib,Capecitabine,0,1
Celecoxib,Carmin,0,1
Celecoxib,Chlorogenic acid,0,1
Celecoxib,Citric_acid,0,1
Celecoxib,Congo_red,0,1
Celecoxib,D_glucose,0,1
Celecoxib,D(-)-Tartaric acid,0,1
Celecoxib,Dopamine hydrochloride,0,1
Celecoxib,EGCG,0,1
Celecoxib,Evans_Blue,0,1
Celecoxib,Gallic_acid,0,1
Celecoxib,Glutathione,0,1
Celecoxib,Glycerol,0,1
Celecoxib,Glycyrrhizic_acid,1,0.200790644
Celecoxib,L_Ascorbic_acid,0,1
Celecoxib,L_Leucine,0,1
Celecoxib,Lamivudine,0,1
Celecoxib,Meglumine,0,1
Celecoxib,Metformin hydrochloride,0,1
Celecoxib,Methylene_Blue_trihydrate,0,1
Celecoxib,Naproxen_sodium,0,1
Celecoxib,Nicotinic_acid,0,1
Celecoxib,Potassium_sorbate,0,1
Celecoxib,Procyanidin,1,0.525448855
Celecoxib,SAFFLOWER YELLOW,0,1
Celecoxib,Salidroside,0,1
Celecoxib,Sorbitol,0,1
Celecoxib,Sucrose,0,1
Celecoxib,Tannic_acid,0,1
Celecoxib,Tartrazine,0,1
Celecoxib,Taurine,0,1
Celecoxib,Triethyl_citrate,0,1
Celecoxib,Vanillin,0,1
Celecoxib,Xylitol,0,1
Carmofur,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Carmofur,Alizarin_Red_S,0,1
Carmofur,Allura Red AC,1,0.306313646
Carmofur,Ampicillin,1,0.330210455
Carmofur,Betaine,1,0.565784114
Carmofur,BETANIN,1,0.364494229
Carmofur,Brilliant_blue_G,1,0.316496945
Carmofur,Caffeic acid,1,0.269314325
Carmofur,Capecitabine,1,0.582145282
Carmofur,Carmin,1,0.320095044
Carmofur,Chlorogenic acid,0,1
Carmofur,Citric_acid,1,0.634894773
Carmofur,Congo_red,0,1
Carmofur,D_glucose,1,0.508553971
Carmofur,D(-)-Tartaric acid,1,0.466598778
Carmofur,Dopamine hydrochloride,1,0.413374067
Carmofur,EGCG,1,0.286422267
Carmofur,Evans_Blue,1,0.232586558
Carmofur,Gallic_acid,1,0.369653768
Carmofur,Glutathione,0,1
Carmofur,Glycerol,0,1
Carmofur,Glycyrrhizic_acid,0,1
Carmofur,L_Ascorbic_acid,1,0.489477257
Carmofur,L_Leucine,1,0.624779362
Carmofur,Lamivudine,1,0.495315682
Carmofur,Meglumine,1,0.459131025
Carmofur,Metformin hydrochloride,1,0.590427699
Carmofur,Naproxen_sodium,1,0.408486083
Carmofur,Nicotinic_acid,1,0.606381534
Carmofur,Potassium_sorbate,1,0.477732519
Carmofur,Procyanidin,1,0.523761032
Carmofur,SAFFLOWER YELLOW,1,0.208961303
Carmofur,Salidroside,1,0.388798371
Carmofur,Sorbitol,1,0.391174474
Carmofur,Sucrose,0,1
Carmofur,Tannic_acid,1,0.478818737
